Name,Heart,Score,Genre,Status,Episode
SubZero,2.4M,9.82,Romance,MONDAY,29
Edith,1.6M,9.76,Romance,MONDAY,26
Cursed Princess Club,1.3M,9.74,Comedy,MONDAY,26
Sweet Home,5.9M,9.84,Thriller,MONDAY,83
My Giant Nerd Boyfriend,20.9M,9.73,Slice of life,MONDAY,329
Ghost Wife,4M,9.67,Romance,MONDAY,80
Code Adam,"183,377",9.83,Action,MONDAY,7
Love Advice from the Great Duke of Hell,3.6M,9.78,Comedy,MONDAY,61
Tower of God,13.3M,9.83,Fantasy,MONDAY,436
The Four of Them,"865,630",9.6,Drama,MONDAY,27
Room of Swords,1.8M,9.78,Sci-fi,MONDAY,76
Matchmaker Hero,"503,959",9.67,Sci-fi,MONDAY,16
Big Jo,3.3M,9.54,Drama,MONDAY,120
Safely Endangered,9.6M,9.54,Comedy,MONDAY,487
DON'T HATE,"729,936",9.43,Comedy,MONDAY,37
Heir's Game,"829,375",9.66,Drama,MONDAY,45
As Per Usual,5.5M,9.4,Comedy,MONDAY,361
Wind Breaker,2.7M,9.84,Action,MONDAY,239
dustinteractive,4.7M,9.37,Comedy,MONDAY,406
Aerial Magic,1M,9.7,Drama,MONDAY,50
A Budgie's Life,5.3M,9.78,Slice of life,MONDAY,350
Plum,"135,403",9.55,Sports,MONDAY,17
Cat Loaf Adventures,1.3M,9.56,Slice of life,MONDAY,130
Messenger,"383,271",9.17,Fantasy,MONDAY,54
Lunarbaboon,2.8M,9.65,Slice of life,MONDAY,558
Kubera,1.8M,9.71,Fantasy,MONDAY,401
EMPYREA,1.2M,9.79,Fantasy,MONDAY,27
LUFF,2.2M,9.56,Romance,TUESDAY,31
My Deepest Secret,"890,319",9.7,Drama,TUESDAY,16
Boyfriend of the Dead,13.2M,9.78,Comedy,TUESDAY,202
Winter Moon,14.3M,9.44,Fantasy,TUESDAY,273
Purple Hyacinth,"560,147",9.92,Drama,TUESDAY,12
Scorching Romance,"170,462",9.55,Drama,TUESDAY,6
Adventures of God,10.1M,9.48,Comedy,TUESDAY,257
Murrz,8.4M,9.61,Slice of life,TUESDAY,244
Small World,9.1M,9.54,Slice of life,TUESDAY,300
Odd Girl Out,5.9M,9.83,Drama,TUESDAY,163
Little Matcha Girl,"104,034",9.8,Fantasy,TUESDAY,6
Watermelon,1.6M,9.81,Drama,TUESDAY,43
Live with Yourself!,2.6M,9.77,Comedy,TUESDAY,92
Da Yomanville Gang,"247,956",9.43,Drama,TUESDAY,17
Eleceed,"370,067",9.89,Fantasy,TUESDAY,14
Assassin Roommate,2.3M,9.34,Romance,TUESDAY,83
Meow Man,"43,389",9.64,Comedy,TUESDAY,4
Nothing Special,1.3M,9.59,Fantasy,TUESDAY,71
Waffles & Pancakes,3.5M,9.49,Slice of life,TUESDAY,233
Spirit Fingers,"231,101",9.8,Drama,TUESDAY,16
Behind the GIFs,5.8M,9.48,Comedy,TUESDAY,674
Luggage,"58,167",8.56,Fantasy,TUESDAY,10
Bite Me,1M,8.34,Drama,TUESDAY,102
Lavender Jack,"244,952",9.45,Thriller,TUESDAY,51
Pound,"136,172",9.46,Action,TUESDAY,30
The Sound of Your Heart,1.4M,9.55,Comedy,TUESDAY,467
Mage & Demon Queen,5.6M,9.8,Fantasy,TUESDAY,72
Let's Play,11.1M,9.66,Romance,TUESDAY,80
Acception,1.1M,8.98,Drama,TUESDAY,42
True Beauty,9.2M,9.79,Drama,WEDNESDAY,51
Age Matters,7M,9.81,Romance,WEDNESDAY,64
Days of Hana,5.1M,9.82,Romance,WEDNESDAY,107
A Good Day to be a Dog,4.5M,9.84,Drama,WEDNESDAY,65
Everywhere & Nowhere,1M,9.71,Comedy,WEDNESDAY,29
Bluechair,19.7M,9.73,Comedy,WEDNESDAY,694
Rebirth,2.1M,9.79,Fantasy,WEDNESDAY,58
AXED,1M,9.7,Comedy,WEDNESDAY,39
Rise from Ashes,2.3M,9.71,Fantasy,WEDNESDAY,101
DICE,4.9M,9.58,Fantasy,WEDNESDAY,268
Yumi's Cells,7.2M,9.74,Romance,WEDNESDAY,392
The Devil is a Handsome Man,1.9M,9.55,Romance,WEDNESDAY,74
Arma,"120,837",9.5,Action,WEDNESDAY,9
Cape of Spirits,"384,405",9.62,Fantasy,WEDNESDAY,20
My Name is Benny,2.7M,9.7,Slice of life,WEDNESDAY,167
Elf & Warrior,1.1M,9.69,Fantasy,WEDNESDAY,137
Cupid's Arrows,"197,880",9.18,Romance,WEDNESDAY,25
Sword Interval,"856,727",9.57,Fantasy,WEDNESDAY,211
Bloodless Wars,"32,321",9.24,Action,WEDNESDAY,10
XINK3R,"407,599",9.34,Superhero,WEDNESDAY,173
