Name,Heart,Score,Genre,Status,Episode
Edith,1.5M,9.77,Romance,MONDAY,25
SubZero,2.3M,9.82,Romance,MONDAY,28
Cursed Princess Club,1.2M,9.74,Comedy,MONDAY,25
Sweet Home,5.8M,9.84,Thriller,MONDAY,82
My Giant Nerd Boyfriend,20.7M,9.73,Slice of life,MONDAY,327
Ghost Wife,3.9M,9.67,Romance,MONDAY,78
Tower of God,13.2M,9.83,Fantasy,MONDAY,435
Code Adam,"154,586",9.83,Action,MONDAY,6
Love Advice from the Great Duke of Hell,3.5M,9.78,Comedy,MONDAY,60
The Four of Them,"857,800",9.60,Drama,MONDAY,27
Room of Swords,1.8M,9.78,Sci-fi,MONDAY,75
Big Jo,3.3M,9.54,Drama,MONDAY,119
Matchmaker Hero,"471,971",9.69,Sci-fi,MONDAY,15
Safely Endangered,9.6M,9.54,Comedy,MONDAY,486
DON'T HATE,"678,772",9.43,Comedy,MONDAY,35
Heir's Game,"824,481",9.65,Drama,MONDAY,45
As Per Usual,5.4M,9.39,Comedy,MONDAY,359
Wind Breaker,2.7M,9.84,Action,MONDAY,238
dustinteractive,4.6M,9.37,Comedy,MONDAY,405
Aerial Magic,1M,9.69,Drama,MONDAY,49
A Budgie's Life,5.3M,9.78,Slice of life,MONDAY,348
Plum,"127,278",9.55,Sports,MONDAY,16
Cat Loaf Adventures,1.3M,9.56,Slice of life,MONDAY,128
Messenger,"376,973",9.18,Fantasy,MONDAY,53
Lunarbaboon,2.8M,9.65,Slice of life,MONDAY,555
Kubera,1.7M,9.71,Fantasy,MONDAY,400
EMPYREA,1.2M,9.79,Fantasy,MONDAY,27
LUFF,2.1M,9.56,Romance,TUESDAY,30
My Deepest Secret,"827,061",9.70,Drama,TUESDAY,15
Boyfriend of the Dead,13.1M,9.78,Comedy,TUESDAY,200
Winter Moon,14.1M,9.44,Fantasy,TUESDAY,270
Purple Hyacinth,"499,844",9.92,Drama,TUESDAY,11
Adventures of God,10M,9.48,Comedy,TUESDAY,255
Scorching Romance,"133,602",9.54,Drama,TUESDAY,5
Murrz,8.3M,9.61,Slice of life,TUESDAY,241
Odd Girl Out,5.8M,9.83,Drama,TUESDAY,162
Small World,9M,9.54,Slice of life,TUESDAY,297
Live with Yourself!,2.5M,9.77,Comedy,TUESDAY,90
Little Matcha Girl,"84,697",9.80,Fantasy,TUESDAY,5
Da Yomanville Gang,"234,716",9.44,Drama,TUESDAY,16
Eleceed,"339,767",9.89,Fantasy,TUESDAY,13
Watermelon,1.6M,9.81,Drama,TUESDAY,43
Assassin Roommate,2.2M,9.34,Romance,TUESDAY,82
Nothing Special,1.3M,9.59,Fantasy,TUESDAY,70
Waffles & Pancakes,3.5M,9.49,Slice of life,TUESDAY,230
Spirit Fingers,"203,599",9.80,Drama,TUESDAY,14
Behind the GIFs,5.7M,9.48,Comedy,TUESDAY,671
Luggage,"53,695",8.61,Fantasy,TUESDAY,9
Bite Me,1M,8.34,Drama,TUESDAY,101
Lunarbaboon,2.8M,9.65,Slice of life,TUESDAY,555
Lavender Jack,"238,119",9.44,Thriller,TUESDAY,51
Pound,"135,795",9.46,Action,TUESDAY,30
The Sound of Your Heart,1.4M,9.55,Comedy,TUESDAY,466
Mage & Demon Queen,5.6M,9.80,Fantasy,TUESDAY,72
Let's Play,11.1M,9.66,Romance,TUESDAY,80
Acception,1.1M,8.97,Drama,TUESDAY,42
True Beauty,9M,9.80,Drama,WEDNESDAY,51
Age Matters,6.9M,9.81,Romance,WEDNESDAY,64
My Giant Nerd Boyfriend,20.7M,9.73,Slice of life,WEDNESDAY,327
Days of Hana,5M,9.82,Romance,WEDNESDAY,107
A Good Day to be a Dog,4.5M,9.84,Drama,WEDNESDAY,65
Everywhere & Nowhere,"986,638",9.71,Comedy,WEDNESDAY,28
Bluechair,19.6M,9.73,Comedy,WEDNESDAY,692
Rebirth,2M,9.79,Fantasy,WEDNESDAY,58
AXED,"989,847",9.71,Comedy,WEDNESDAY,38
Safely Endangered,9.6M,9.54,Comedy,WEDNESDAY,486
Rise from Ashes,2.3M,9.71,Fantasy,WEDNESDAY,101
DICE,4.8M,9.58,Fantasy,WEDNESDAY,268
Yumi's Cells,7.1M,9.74,Romance,WEDNESDAY,391
The Devil is a Handsome Man,1.8M,9.55,Romance,WEDNESDAY,74
Arma,"115,825",9.50,Action,WEDNESDAY,9
Cape of Spirits,"377,605",9.62,Fantasy,WEDNESDAY,20
dustinteractive,4.6M,9.37,Comedy,WEDNESDAY,405
My Name is Benny,2.7M,9.70,Slice of life,WEDNESDAY,166
Elf & Warrior,1M,9.69,Fantasy,WEDNESDAY,137
Behind the GIFs,5.7M,9.48,Comedy,WEDNESDAY,671
Cupid's Arrows,"195,382",9.18,Romance,WEDNESDAY,25
Bloodless Wars,"31,343",9.25,Action,WEDNESDAY,10
Sword Interval,"853,010",9.57,Fantasy,WEDNESDAY,211
XINK3R,"405,210",9.34,Superhero,WEDNESDAY,173
Denma,1M,9.13,Sci-fi,WEDNESDAY,668
STARCROSS,"7,955",7.56,Superhero,WEDNESDAY,17
The World Where I Belong,"655,881",9.59,Drama,WEDNESDAY,53
Darbi,"992,265",9.49,Action,WEDNESDAY,74
Outrage,"405,372",9.41,Superhero,WEDNESDAY,26
Backchannel,"149,895",9.70,Superhero,WEDNESDAY,12
unOrdinary,16.8M,9.83,Fantasy,THURSDAY,151
Refund High School,9.1M,9.74,Drama,THURSDAY,133
Winter Moon,14.1M,9.44,Fantasy,THURSDAY,270
Lalin's Curse,"642,126",9.89,Drama,THURSDAY,15
Bluechair,19.6M,9.73,Comedy,THURSDAY,692
Brass & Sass,"89,524",9.53,Romance,THURSDAY,5
Murrz,8.3M,9.61,Slice of life,THURSDAY,241
DON'T HATE,"678,772",9.43,Comedy,THURSDAY,35
Crumbs,"125,128",9.82,Romance,THURSDAY,7
Just Pancakes,"121,789",9.63,Comedy,THURSDAY,11
Space Boy,3.5M,9.83,Drama,THURSDAY,214
Waffles & Pancakes,3.5M,9.49,Slice of life,THURSDAY,230
As Per Usual,5.4M,9.39,Comedy,THURSDAY,359
My Dictator Boyfriend,1.7M,9.03,Comedy,THURSDAY,113
My Name is Benny,2.7M,9.70,Slice of life,THURSDAY,166
Simon Sues,"83,224",9.18,Thriller,THURSDAY,10
Behind the GIFs,5.7M,9.48,Comedy,THURSDAY,671
Just for Kicks,2M,9.58,Slice of life,THURSDAY,147
Doodle for Food,2.6M,9.42,Slice of life,THURSDAY,417
UnderPrin,1.6M,9.28,Fantasy,THURSDAY,267
Denma,1M,9.13,Sci-fi,THURSDAY,668
Mage & Demon Queen,5.6M,9.80,Fantasy,THURSDAY,72
ㄴㅇㄹㅇㄴㄹ,"239,274",8.90,Informative,THURSDAY,25
Boyfriend of the Dead,13.1M,9.78,Comedy,FRIDAY,200
My Giant Nerd Boyfriend,20.7M,9.73,Slice of life,FRIDAY,327
The Gamer,6.6M,9.67,Fantasy,FRIDAY,283
Love Advice from the Great Duke of Hell,3.5M,9.78,Comedy,FRIDAY,60
The God of High School,7.9M,9.73,Action,FRIDAY,421
Muted,"635,279",9.63,Drama,FRIDAY,20
Hardcore Leveling Warrior,5M,9.79,Action,FRIDAY,179
Small World,9M,9.54,Slice of life,FRIDAY,297
No Scope,"238,301",9.85,Action,FRIDAY,11
Phantom Paradise,1.6M,9.58,Fantasy,FRIDAY,54
Hooves of Death,"387,576",9.40,Action,FRIDAY,23
#Blessed,1.5M,9.22,Drama,FRIDAY,64
House of Stars,"152,920",9.74,Fantasy,FRIDAY,10
Newman,1.4M,9.74,Fantasy,FRIDAY,188
dustinteractive,4.6M,9.37,Comedy,FRIDAY,405
Behind the GIFs,5.7M,9.48,Comedy,FRIDAY,671
Doodle for Food,2.6M,9.42,Slice of life,FRIDAY,417
Thornstone,"61,322",9.09,Fantasy,FRIDAY,14
Lunarbaboon,2.8M,9.65,Slice of life,FRIDAY,555
Firebrand,"180,574",9.01,Fantasy,FRIDAY,34
I Don't Want This Kind of Hero,1.8M,9.75,Fantasy,FRIDAY,267
Brothers Bond,"92,098",9.25,Action,FRIDAY,39
Denma,1M,9.13,Sci-fi,FRIDAY,668
Heartwired,"110,270",9.11,Sci-fi,FRIDAY,19
Hooky,4M,9.74,Fantasy,FRIDAY,199
Acursian,"18,854",7.37,Fantasy,FRIDAY,9
Four Leaf,"399,596",9.74,Fantasy,FRIDAY,31
FINALITY,"15,288",8.34,Thriller,FRIDAY,8
I Love Yoo,13.5M,9.83,Romance,FRIDAY,96
Trailer Park Warlock,"107,176",9.21,Fantasy,FRIDAY,19
Acception,1.1M,8.97,Drama,FRIDAY,42
Siren's Lament,11.8M,9.76,Romance,SATURDAY,157
Ghost Wife,3.9M,9.67,Romance,SATURDAY,78
Winter Moon,14.1M,9.44,Fantasy,SATURDAY,270
Deor,"118,695",9.84,Fantasy,SATURDAY,4
Adventures of God,10M,9.48,Comedy,SATURDAY,255
The Kiss Bet,"271,133",9.55,Romance,SATURDAY,10
Bluechair,19.6M,9.73,Comedy,SATURDAY,692
Random Chat,"62,953",9.55,Drama,SATURDAY,3
Fluffy Boyfriend,2.4M,9.27,Drama,SATURDAY,55
Murrz,8.3M,9.61,Slice of life,SATURDAY,241
Shiloh,"126,765",9.66,Thriller,SATURDAY,7
Uriah,"314,521",9.82,Thriller,SATURDAY,15
Miss Abbott and the Doctor,3.7M,9.81,Romance,SATURDAY,129
