Name,Heart,Score,Genre,Status,Episode
SubZero,2400000.0,9.82,1,1,29
Edith,1600000.0,9.76,1,1,26
Cursed Princess Club,1300000.0,9.74,2,1,26
Sweet Home,5900000.0,9.84,3,1,83
My Giant Nerd Boyfriend,20900000.0,9.73,4,1,329
Ghost Wife,4000000.0,9.67,1,1,80
Code Adam,183377.0,9.83,5,1,7
Love Advice from the Great Duke of Hell,3600000.0,9.78,2,1,61
Tower of God,13300000.0,9.83,6,1,436
The Four of Them,865630.0,9.6,7,1,27
Room of Swords,1800000.0,9.78,8,1,76
Matchmaker Hero,503959.0,9.67,8,1,16
Big Jo,3300000.0,9.54,7,1,120
Safely Endangered,9600000.0,9.54,2,1,487
DON'T HATE,729936.0,9.43,2,1,37
Heir's Game,829375.0,9.66,7,1,45
As Per Usual,5500000.0,9.4,2,1,361
Wind Breaker,2700000.0,9.84,5,1,239
dustinteractive,4700000.0,9.37,2,1,406
Aerial Magic,1000000.0,9.7,7,1,50
A Budgie's Life,5300000.0,9.78,4,1,350
Plum,135403.0,9.55,9,1,17
Cat Loaf Adventures,1300000.0,9.56,4,1,130
Messenger,383271.0,9.17,6,1,54
Lunarbaboon,2800000.0,9.65,4,1,558
Kubera,1800000.0,9.71,6,1,401
EMPYREA,1200000.0,9.79,6,1,27
LUFF,2200000.0,9.56,1,2,31
My Deepest Secret,890319.0,9.7,7,2,16
Boyfriend of the Dead,13200000.0,9.78,2,2,202
Winter Moon,14300000.0,9.44,6,2,273
Purple Hyacinth,560147.0,9.92,7,2,12
Scorching Romance,170462.0,9.55,7,2,6
Adventures of God,10100000.0,9.48,2,2,257
Murrz,8400000.0,9.61,4,2,244
Small World,9100000.0,9.54,4,2,300
Odd Girl Out,5900000.0,9.83,7,2,163
Little Matcha Girl,104034.0,9.8,6,2,6
Watermelon,1600000.0,9.81,7,2,43
Live with Yourself!,2600000.0,9.77,2,2,92
Da Yomanville Gang,247956.0,9.43,7,2,17
Eleceed,370067.0,9.89,6,2,14
Assassin Roommate,2300000.0,9.34,1,2,83
Meow Man,43389.0,9.64,2,2,4
Nothing Special,1300000.0,9.59,6,2,71
Waffles & Pancakes,3500000.0,9.49,4,2,233
Spirit Fingers,231101.0,9.8,7,2,16
Behind the GIFs,5800000.0,9.48,2,2,674
Luggage,58167.0,8.56,6,2,10
Bite Me,1000000.0,8.34,7,2,102
Lavender Jack,244952.0,9.45,3,2,51
Pound,136172.0,9.46,5,2,30
The Sound of Your Heart,1400000.0,9.55,2,2,467
Mage & Demon Queen,5600000.0,9.8,6,2,72
Let's Play,11100000.0,9.66,1,2,80
Acception,1100000.0,8.98,7,2,42
True Beauty,9200000.0,9.79,7,3,51
Age Matters,7000000.0,9.81,1,3,64
Days of Hana,5100000.0,9.82,1,3,107
A Good Day to be a Dog,4500000.0,9.84,7,3,65
Everywhere & Nowhere,1000000.0,9.71,2,3,29
Bluechair,19700000.0,9.73,2,3,694
Rebirth,2100000.0,9.79,6,3,58
AXED,1000000.0,9.7,2,3,39
Rise from Ashes,2300000.0,9.71,6,3,101
DICE,4900000.0,9.58,6,3,268
Yumi's Cells,7200000.0,9.74,1,3,392
The Devil is a Handsome Man,1900000.0,9.55,1,3,74
Arma,120837.0,9.5,5,3,9
Cape of Spirits,384405.0,9.62,6,3,20
My Name is Benny,2700000.0,9.7,4,3,167
Elf & Warrior,1100000.0,9.69,6,3,137
Cupid's Arrows,197880.0,9.18,1,3,25
Sword Interval,856727.0,9.57,6,3,211
Bloodless Wars,32321.0,9.24,5,3,10
XINK3R,407599.0,9.34,10,3,173
Denma,1000000.0,9.12,8,3,672
STARCROSS,8170.0,7.54,10,3,17
The World Where I Belong,656524.0,9.59,7,3,53
Darbi,994241.0,9.49,5,3,74
Outrage,405743.0,9.41,10,3,26
Backchannel,150145.0,9.7,10,3,12
unOrdinary,17100000.0,9.83,6,4,152
Refund High School,9400000.0,9.75,7,4,135
Lalin's Curse,699150.0,9.89,7,4,16
Brass & Sass,109978.0,9.52,1,4,6
Crumbs,142633.0,9.82,1,4,8
Space Boy,3500000.0,9.83,7,4,215
Just Pancakes,141894.0,9.64,2,4,13
My Dictator Boyfriend,1700000.0,9.03,2,4,115
Simon Sues,91240.0,9.13,3,4,11
Just for Kicks,2000000.0,9.58,4,4,148
Doodle for Food,2700000.0,9.43,4,4,419
UnderPrin,1600000.0,9.27,6,4,268
ㄴㅇㄹㅇㄴㄹ,239407.0,8.9,11,4,25
The Gamer,6700000.0,9.67,6,5,284
Muted,678779.0,9.64,7,5,21
The God of High School,8000000.0,9.73,5,5,422
Hardcore Leveling Warrior,5000000.0,9.79,5,5,181
No Scope,261760.0,9.85,5,5,12
Phantom Paradise,1600000.0,9.58,6,5,55
Hooves of Death,406607.0,9.39,5,5,24
#Blessed,1500000.0,9.22,7,5,64
House of Stars,173389.0,9.73,6,5,11
Newman,1400000.0,9.74,6,5,188
Thornstone,66191.0,9.08,6,5,15
Firebrand,184379.0,9.0,6,5,35
I Don't Want This Kind of Hero,1800000.0,9.75,6,5,268
Heartwired,112763.0,9.09,8,5,20
Brothers Bond,93901.0,9.26,5,5,40
Hooky,4100000.0,9.74,6,5,199
Acursian,18896.0,7.36,6,5,9
Four Leaf,400785.0,9.74,6,5,31
FINALITY,15327.0,8.34,3,5,8
I Love Yoo,13600000.0,9.83,1,5,96
Trailer Park Warlock,107479.0,9.21,6,5,19
Siren's Lament,11900000.0,9.76,1,6,158
Deor,151675.0,9.83,6,6,5
The Kiss Bet,299646.0,9.55,1,6,11
Random Chat,89684.0,9.56,7,6,4
Fluffy Boyfriend,2400000.0,9.27,7,6,56
Uriah,335471.0,9.81,3,6,16
Shiloh,142028.0,9.63,3,6,8
Saphie: The One-Eyed Cat,6500000.0,9.79,4,6,333
Bad Signs,151332.0,9.44,2,6,10
Unlucky is as Lucky does,565005.0,9.64,2,6,37
Skate!!! Fire 100,17035.0,9.43,6,6,3
Apocalyptic Horseplay,690950.0,9.68,6,6,175
S.I.D.,1000000.0,9.67,6,6,214
GOSU,2300000.0,9.86,5,6,162
Witch Creek Road,424640.0,9.43,12,6,21
Miss Abbott and the Doctor,3700000.0,9.81,1,6,129
Metaphorical HER,96584.0,8.78,7,6,32
Urban Animal,474232.0,9.73,5,6,29
Eggnoid,8199999.999999999,9.7,1,6,166
The Croaking,540066.0,9.78,6,6,29
Strawberry Seafoam,1100000.0,9.29,7,6,82
Lore Olympus,8400000.0,9.79,1,7,72
Castle Swimmer,2200000.0,9.88,6,7,31
My Dear Cold-Blooded King,6900000.0,9.77,1,7,115
Lookism,15900000.0,9.83,7,7,240
The Fever King,144615.0,9.73,6,7,6
Gourmet Hound,6100000.0,9.77,7,7,135
Blood-Ink,946504.0,9.7,5,7,35
Seed,893070.0,9.76,8,7,34
Tales of the Unusual,2900000.0,9.61,3,7,261
Cheese in the Trap,4300000.0,9.7,1,7,268
HAPI BUNI,1700000.0,9.44,2,7,242
Varsity Noir,45640.0,9.07,7,7,15
Magician,1300000.0,9.73,6,7,484
New Normal: Class 8,1500000.0,9.53,2,7,246
Freaking Romance,2600000.0,9.85,1,7,22
LUMINE,7500000.0,9.82,7,7,77
Shriek,237733.0,9.77,3,8,17
Lorna,291008.0,8.31,4,8,65
Your Letter,679723.0,9.94,7,8,12
Unknown Caller,79553.0,9.53,3,8,3
Faust,383995.0,7.81,6,8,124
Sithrah,206163.0,9.44,6,8,97
Cyberforce,37901.0,7.87,10,8,92
New Life Project,41863.0,8.37,2,8,53
Chiller,447899.0,9.57,3,8,37
SHADOW,95367.0,9.41,6,8,12
Westwood Vibrato,130714.0,9.66,7,8,71
Jingle Jungle,35816.0,8.87,4,8,101
Kids Are All Right,182027.0,9.7,7,8,56
Warning Label,368198.0,8.9,1,8,40
Ghost Teller,1500000.0,9.86,12,8,39
Girls Have a Blog,634018.0,9.17,4,8,84
Brutally Honest,803880.0,9.47,2,8,80
